01/01/2013 04:31,trimmed portfolio by 20 into eoy breakout  now 25 cash  kept bac fb yhoo  mcd brkb,Unknown
01/01/2013 05:55,high beta stacked sma screen bac bc htz thc uri amp more  some very nice setups  httpstkscohihq,Unknown
01/01/2013 06:36,merry cliffmiss to all amp happy new yearbac,Bullish
01/01/2013 06:51,ufol   i39m long termwas to scared to buy bac at 5 huge mistake learning from my mistakes amp getting good stocks at discount think 5yrs,Unknown
01/01/2013 06:56,ufol   meaning i thought that bac at 5 would hit 20 in 2years and nflx at 50 would hit 100 was too afraid  i like c fcx x fb,Unknown
01/01/2013 07:02,ufol bac daily is at breakout levels  i think it goes to 14  long term bac is great part of the housing play too,Unknown
01/01/2013 07:13,ufol   i39ve learned prior to selling whether a stock will rebound abit prior to steeper declinereducing my loss bac qqq,Unknown
01/01/2013 07:14,thinking about trading gnw during my 30 day irs imposed exile from bac current and historic correlation is pretty tight any thoughts,Unknown
01/01/2013 07:45,aaronapro happy new year  thoughts on support levels if bac consolidates prior to earnings ,Unknown
01/01/2013 07:55,tman2k aapl   if staple hits 600 that39s 20 profit  i can get that and more in a more bullish stock like bac or c check out fcx,Unknown
01/01/2013 08:31,hp is the bac of tech a giant cleaning house spending amp getting smaller still quotcheapquot is v risky trade httpstkscohii9,Unknown
01/01/2013 08:48,hpq is the bac of tech a giant cleaning house spending amp getting smaller still quotcheapquot is v risky  httpstkscoji7e,Unknown
01/01/2013 08:53,quotzeroosum hpq is the bac of tech a giant cleaning house spending amp getting smaller still quotcheapquot is v risky  httpstkscoehdnquot,Unknown
01/01/2013 10:08,bac 30 in a few year is not a pipe dream it39s a very conservative estimate,Unknown
01/01/2013 10:23,bac  bull flag still clean and clear   httpstkscoohia,Unknown
01/01/2013 10:28,favorite bank c or ms bac is obviously the strongest though,Unknown
01/01/2013 11:07,aapl fb bac ma spy happy new year everyone  i certainly hope most of you feel better than i do today  i39ve demolished my liver,Unknown
01/01/2013 11:11,trov vrng bac aapl goog my picks for 2013,Unknown
01/01/2013 11:26,bac portfoolio happy new year  any thoughts on support levels if consolidates before earnings ,Unknown
01/01/2013 11:33,uroptiontrader    i think there is a chance strong chance it hits 14  swing trade it higher bac,Unknown
01/01/2013 11:38,bac backtoback darvis boxes  looking to add add a breakout of 1170,Unknown
01/01/2013 11:39,bac backtoback darvis boxes  looking to add at 1170 httpstkscolhin,Bullish
01/01/2013 12:17,the daily analysis for tomorrow  httpstkscokhhv spy aapl goog amzn bac,Unknown
01/01/2013 12:36,bac if the house messes this up they should all be fired,Bullish
01/01/2013 12:41,bac is a bad investment for the following reasons,Unknown
01/01/2013 13:56,bacswimstar492  brilliant analysis  you must write brian moynihan so he plans for all these costs amp expenseshow,Unknown
01/01/2013 14:17,swimstar492 9512 your stocktwit bac has no reason to trade highertoday bac is a bad investment write brian moynihan so he knows lmao ,Unknown
01/01/2013 14:35,bac hope this stock tanks tommorow,Unknown
01/01/2013 14:59,jpmorgan top 10 macro questions for 2013 httpstkscogibp jpm c spy bac,Unknown
01/01/2013 16:32,bac looking a bit more hopeful at the moment,Bearish
01/01/2013 16:39,love my special 3 going into 13 fbc bac wu always watching lehnq  for that special bk surprise sggh for zell amp archstone to appear,Unknown
01/01/2013 17:07,bac fiscal cliff most likely averted tonight gapup tomorrow,Unknown
01/01/2013 17:12,bac according to cnn and bloomberg they39re going to vote on the senate bill as is in the 9 pm hour,Unknown
01/01/2013 17:38,tnathan95  spx aapl bac fb cthese are 1st going lower until friskie clifford is reslved but add some spec vrng pphm amrn ino,Unknown
01/01/2013 18:07,bac ascending triangle with break out point on move above 1170 with volume httpstksconhgn,Unknown
01/01/2013 18:11,i think this deal could be just what the markets needed  nok bac wfc znga fb onnn mnst trtc brcd tomorrow could be awsome,Unknown
01/01/2013 18:16,kponch just what the markets needed nok bac wfc znga fb onnn mnst trtc brcd tomorrow could be awsomelt i dont think so,Unknown
01/01/2013 18:41,bac looking very good friends should easily gap to a 52week high at open,Bullish
01/01/2013 18:54,bac did anyone have a look at the hang seng financials sectorit39s unreal it is up 335 they seem to be happy,Unknown
01/01/2013 18:55,bac hang seng financials sector actually up 347,Unknown
01/01/2013 19:37,first major hurdle is jpm earnings on jan 16 then bac and c earnings the next day jan 17,Unknown
01/01/2013 19:50,imagine how strong us economy would be if banks actually loaned money then biz could invest bac wfc c,Unknown
01/01/2013 20:01,bac house passes fiscal cliff bill we are off to the races,Unknown
01/01/2013 20:02,bac   sad day for america,Unknown
